"die Freiheit (Pl.: die Freiheiten)	","freedom [Kampf {m} um die Freiheit--fight for freedom]"
"die Art (Pl.: die Arten)	","sort [Sorte] [Leute jeder Art--all sorts of people; Plätzchen jeder Art--biscuits of all sorts [gastr.]] [z.B. 'Wodka ist in Russland eine Art Nationalgetränk.']; manner [Methode, Verhalten] [in solch einer Art--in such a manner]"
"die Zusage (Pl.: die Zusagen)	","commitment [pledge, undertaking] [eine Zusage zurücknehmen--abandon a commitment; Zusage der Zahlung--commitment to pay]; promise [feste Zusage--firm promise; (jdm) eine Zusage geben--make (sb) a promise; eine Zusage brechen--break a promise]"
"der Ausdruck (Pl.: die Ausdrücke)	","expression [Wort; Gesichtsausdruck] [mathematischer Ausdruck--mathematical expression [math.]; der Ausdruck ihrer Gesichter--the expression(s) on their faces; umgangssprachlicher Ausdruck--colloquial expression; seine Meinung zum Ausdruck bringen--express one's opinion]"
"das Feld (Pl.: die Felder)	","field [Acker; Spielfeld; Bereich; Gruppe [sports]] [auf dem Feld arbeiten--work in the fields]"
"die Mannschaft (Pl.: die Mannschaften)	","team [gegnerische Mannschaft--opposing team; siegreiche Mannschaft--winning team; Stimmung {f} der Mannschaft--morale of the team; für eine Mannschaft kicken--play for a team]; enlisted men [mil.] (военнослужащие рядового и сержантского состава)"
"die Stimmung (Pl.: die Stimmungen)	","mood [Gemütszustand] [fröhliche Stimmung--merry mood; niedergeschlagene Stimmung--low mood; optimistische Stimmung--optimistic mood; guter Stimmung sein--be in a good mood]"
"das Gemüt (Pl.: die Gemüter)	","mind [disposition] (disposition: характер; нрав) [ausgeglichenes Gemüt--sober mind]; temper [state of mind, disposition] [hitziges Gemüt--quick temper] [z.B. 'Eine von der französischen Regierung angestrebte Reform des Gesundheitssystems erregt die Gemüter der Mediziner. Tausende gingen am Sonntag in Paris auf die Straße.']"
"der Osten (kein Plural)	","east [naut.; geogr.] [nach Osten--to the east; Naher Osten--Middle East [geogr.]; im Osten der Stadt/des Landes--in the east of the town/country; im Osten Frankreichs--in the east of France, in eastern France ]"
"das Gerücht (Pl.: die Gerüchte)	","rumor [ein Gerücht verbreiten--spread a rumour]"
"die Entführung (Pl.: die Entführungen)	","abduction [Entführung durch Außerirdische--alien abduction]"
"die Absicht (Pl.: die Absichten)	","intention [seine Absicht ankündigen--announce one's intention; in der Absicht, etw. zu tun--with the intention of doing sth.]; purpose [Zweck] [Ehrlichkeit einer Absicht--honesty of purpose; mit Absicht--on purpose]"
"die Luftfahrt (Pl.: die Luftfahrten)	","aviation [aviat.] [US-Bundesbehörde {f} für die zivile Luftfahrt--Federal Aviation Administration <FAA> [aviat.; admin.]] Luftfahrt-Schriftsteller--aviation writer]"
"der Hubschrauber ( Pl.: die Hubschrauber)","helicopter [aviat.] [Hubschrauber der Küstenwache--coast guard helicopter; in einem Hubschrauber fliegen--have a ride in a helicopter; jdn./etw. mit einem Hubschrauber irgendwohin transportieren--helicopter sb./sth. to somewhere; der Hubschrauber setzte einen Arzt auf dem Schiff ab--the helicopter landed a doctor on the ship]"
"die Ablehnung (Pl.: die Ablehnungen)	","rejection [eindeutige Ablehnung--categorical rejection; Ablehnung eines Vorschlags--rejection of a proposal]"
"der Rand (Pl.: die Ränder)	","edge [border, verge] [am Rand--at the edge; bitte gehen Sie nicht zu nahe an den Rand--please keep back from the edge]"
"das Achtel (Pl.: die Achtel)	","eighth [drei Achtel {pl}--three-eighths; ein Achtel--one-eighth]"
"die Kundgebung (Pl.: die Kundgebungen)	","demonstration [pol.] [Anlass für diese Kundgebung war die zunehmend repressive Medienpolitik des Regimes von Präsident Kutschma.--This demonstration was in response to President Kuchma's regime's increasingly repressive policy on the media.; bei der Kundgebung kam es zu Ausschreitungen--the rally became disorderly]"
"die Verschmutzung (Pl.: die Verschmutzungen)","pollution [der Umwelt] [ecol.] [Verschmutzung der Umwelt--pollution of the environment; Verschmutzung durch Öl--oil pollution; Verschmutzung durch Pestizide--pesticide pollution]"
"der Sonnabend (Pl.: die Sonnabende)	","Saturday [bei Helga steigt Sonnabend eine Party--Helga's having a party on Saturday; Ich wünschte, es wäre Sonnabend.--I wish it were Saturday.] [z.B. 'Im Kosovo ist es zu weiteren Unruhen gekommen, nach den Protesten vom Sonnabend.']"
"die Liebe (kein Plural [Gefühl] / Pl.: die Lieben [Personen; ugs. für Liebschaften])","love [in Liebe--with love; eine Nacht der Liebe--a night of love]"
"das Denkmal (Pl.: die Denkmäler)	","monument [ein Denkmal errichten--raise a monument; Denkmal des Nationalhelden--monument to the national hero] [z.B. 'Seine Popularität erreichte im Oktober 1934 einen ersten Höhepunkt, als feierlich Hachikos Denkmal eingeweiht wurde.']"
"der Dichter (Pl.: die Dichter)	","poet [lit.] [ein großer Dichter sein--be a great poet; ein geborener Dichter--born a poet]; writer [Schriftsteller] [lit.] [ein so großer Dichter wie Shakespeare--so great a writer as Shakespeare]"
"der Zusammenstoß (Pl.: die Zusammenstöße)","clash [of demonstrators, armies etc.] [z.B. 'Aus mehreren Provinzen wurden zuletzt Zusammenstöße zwischen Talibankämpfern und Sympathisanten des IS gemeldet, noch in dieser Woche aus Nangarhar.']; collision [Zusammenstoß zweier Züge--collision between two trains; der Zusammenstoß auf hoher See--collision at sea] (столкновение)"
"das Todesopfer (Pl.: die Todesopfer)	","casualty [fatal victim] [Der Unfall forderte drei Todesopfer.--The accident claimed three lives.; wie viel Todesopfer gab es?--how many were killed?; tragischer Busunfall forderte sechs Todesopfer--six killed in bus crash tragedy]"
"der Müll (kein Plural)	","garbage [den Müll rausbringen--take out the garbage; der Müll türmt sich berghoch--mountains of rubbish are piling up]"
"die Ausschreitung (Pl.: [meist im Plural] die Ausschreitungen)","riot [Aufruhr]; rioting [erneute Ausschreitungen--a fresh outbreak of violence]"
"der Kämpfer (Pl.: die Kämpfer)	","fighter [Kung-Fu-Kämpfer--kung fu fighter; Taliban-Kämpfer--Taliban fighter; ein echter Kämpfer--a real fighter]"
"die Erkenntnis (Pl.: die Erkenntnisse)	","knowldege [philos.] [Streben {n} nach Erkenntnis--quest for knowledge [philos.]; der Baum {m} der Erkenntnis--the tree of knowledge [bibl.]]"
"das Erkenntnis [österr., sonst veraltet: Gerichtsbescheid, Urteil] (Pl.: die Erkenntnisse)","finding [discovery, also verdict]; verdict [law]"
"die Sackgasse (Pl.: die Sackgassen)	","impasse [auch fig.] [in eine Sackgasse geraten--reach an impasse [in negotiations] (тупиковая ситуация; тупик); dead-end road (заканчивающаяся тупиком дорога)"
"der Verlauf (Pl.: die Verläufe)	","course [of events] [im Verlauf der Jahrhunderte--in the course of the centuries]"
"die Rücksicht (Pl.: die Rücksichten)	","consideration [Schonung, Nachsicht] [aus Rücksicht auf--out of consideration for]"
"die Tatsache (Pl.: die Tatsachen)	fact [offenkundige Tatsache--obvious fact]","die Streitkräfte {pl--meist im Plural} (Sg.: die Streitkraft)"
"armed forces [mil.] [ausländische Streitkräfte--foreign armed forces [mil.]; Oberbefehlshaber der Streitkräfte--Supreme Commander of the Armed Forces [mil.]]  [z.B. 'China rüstet seine Streitkräfte seit Jahren kräftig auf und baut insbesondere seine Marine aus - erst am Donnerstag gab Peking den Bau eines zweiten Flugzeugträgers bekannt.']","die Weise (Pl.: die Weisen)	"
"way [method, manner] [in gleicher Weise--in the same way; auf andere Weise--in another way; auf diese Weise--in this way]; tune [mus.]","der Weise/ein Weiser (Pl.: die Weisen)	"
"wise man [die drei Weisen aus dem Morgenland--the three Wise Men from the East; Fünf Weise--panel of five experts advising government on economic policy]","die Überzeugung (Pl.: die Überzeugungen)"
"conviction [firm belief] [feste Überzeugung--strong conviction; aus Überzeugung handeln--act from conviction; zu seiner Überzeugung stehen--stand by one's convictions]","der Fremdenverkehr (kein Plural)	"
"tourism [Maßnahmen zur Förderung des Fremdenverkehrs--measures for the promotion of tourism]","die Ortschaft (Pl.: die Ortschaften)	"
"village [Dorf]; place [village or small town]","der Zweig (Pl.: die Zweige)	"
"branch [+von Wissenschaft, Familie etc; Ast] [einen Zweig abbrechen--break a branch from a tree; der naturwissenschaftliche Zweig--the branch of natural sciences]","der Besitzer (Pl.: die Besitzer)	"
"owner [der stolze Besitzer--the proud owner; rechtmäßiger Besitzer--rightful owner (законный владелец;); Kfz-Werkstatt-Besitzer--garage owner]","der Besitz (Pl.: [selten] die Besitze)	"
"ownership [law] [gemeinsamer Besitz--joint ownership or possession]; possession [law] [ausschließlicher Besitz--sole possession [law]; von jdm./etw. Besitz nehmen--take possession of sb./sth.]; estate [Eigentum] [einen Besitz teilen--break up an estate]","der Verband (Pl.: die Verbände)	"
"association [sports] [Verband {m} der Landwirte--association of farmers [agr.]]; federation [fin.; econ.] [Verband der britischen Industrie--Confederation of British Industry]; organization [Organisation]; unit [mil.] [mechanisierter Verband--mechanized unit [mil.]]","das Festland (Pl.:[selten, eher fachspr.] die Festländer)"
"mainland [geogr.] [das griechische Festland--mainland Greece [geogr.]; Verbindung {f} mit dem Festland--connection with the mainland]; land [fester Boden] [geogr.] [nach Wochen auf See tauchte endlich das Festland auf--after weeks at sea land was finally sighted]","das Misstrauen (kein Plural)	"
"distrust [zu Misstrauen führen--cause distrust]","die Herrschaft (kein Plural)	"
"rule [pol.] [unter britischer Herrschaft stehen--be under British rule]; control [Er verlor die Herrschaft über …--He lost control over …]","die Pacht (Pl.: die Pachten)	"
"lease [Pachtvertrag, Pachtdauer] [law] [etw in Pacht geben--lease sth out]","die Unterkunft (Pl.: die Unterkünfte)	"
"accomodation [lodging] [Unterkunft für die Nacht--accommodation for the night] [z.B. 'Schweden hat große Schwierigkeiten, Unterkünfte für die rund 163.000 Flüchtlinge zu finden, die im vergangenen Jahr ins Land gekommen sind. Die neuste Idee nun: Ein Kreuzfahrtschiff als Asylbewerberunterkunft. Laut der Sprecherin der schwedischen Einwanderungsbehörde, Alexandra Elias, sollen auf der 'Ocean Gala' rund 1800 Flüchtlinge Platz finden.']","die Landwirtschaft (Pl.: die Landwirtschaften)"
"agriculture [agr.] [industrielle Landwirtschaft--industrial agriculture]","der Weizen (Pl.: die Weizen [Sorten])	"
"wheat [bot.; agr.] [die Spreu vom Weizen trennen--separate the wheat from the chaff]","der Mais (kein Plural)	"
"corn [bot.; agr.] [Mais kultivieren--cultivate corn] (кукуруза)","das Kraftwerk (Pl.: die Kraftwerke)	"
"power station [Geothermie-Kraftwerk--geothermal power station]","die Güter {pl} (Sg.: das Gut)	"
"goods [comm.] [die Güter vom Eisenbahnwaggon aufs Schiff verladen--offload the goods from the train onto the ship]","die Knappheit (kein Plural)	"
"scarcity [Knappheit an Arbeitsplätzen--scarcity of jobs]","der Muskel (Pl.: die Muskeln)	"
"muscle [Musculus] [anat.] [einen Muskel anspannen--flex a muscle]","der Appell (Pl.: die Appelle)	"
"appeal [Aufruf] [an +Akk.--to; zu--for] [einen Appell an jdn. richten--make an appeal to sb.]","der Schatten (Pl.: die Schatten)	"
"shadow [einem Schatten nachjagen--run after a shadow]","das Anzeichen (Pl.: die Anzeichen)	"
"sign [Anzeichen von Schwäche--sign of weakness]; evidence [Es gibt Anzeichen, die darauf hindeuten, dass …--There is evidence to suggest that …]","die Gewerkschaft (Pl.: die Gewerkschaften)"
"trade union [einer Gewerkschaft angehören--belong to a trade union]; union [trade union] [Gewerkschaft Erziehung und Wissenschaft--union representing workers in education and science]","der Vorwurf (Pl.: die Vorwürfe)	"
"reproach; accusation [Beschuldigung] [man machte ihm den Vorwurf der Bestechlichkeit--he was accused of being open to bribery]","der Eindruck (Pl.: die Eindrücke)	"
"impression [auf jdn. Eindruck machen--make an impression on sb.]","die Auswahl (Pl.: die Auswahlen)	"
"selection [an +Dat.--of] [Auswahl von Gemälden--selection of paintings]","die Gesellschaft (Pl.: die Gesellschaften)"
"society [Vereinigung; Oberschicht] [bürgerliche Gesellschaft--civil society; eine vielschichtige Gesellschaft--a highly stratified society]; company [econ.] [eine Gesellschaft mehrheitlich übernehmen--become the majority shareholder in a company; eine Gesellschaft gründen--incorporate a company]","der Staub (kein Plural [Substanz]/[fachspr.: Arten] die Staube/Stäube)"
"dust [vollkommen mit Staub bedeckt--all covered with dust; Staub nicht einatmen.--Do not inhale dust.]","der Witz (Pl.: die Witze)	"
"joke [einen Witz machen--crack a joke; alter Witz--stale joke] [z.B. 'Jeff Bezos wird weiterhin keine Mühe haben, Witze über verbrannte Milliarden und Quartalsverluste zu machen.']","die Ausnahme (Pl.: die Ausnahmen)	"
"exception [ohne Ausnahme--without exception]","der Rückzug (Pl.: die Rückzüge)	"
"withdrawal [einen strategischen Rückzug durchführen--make a strategic withdrawal; den Rückzug ins Private antreten--withdraw into oneself]; retreat [mil.] [dem Heer wurde der Rückzug befohlen--the army was ordered to retreat; die Armee befindet sich or ist auf dem Rückzug--the army is in retreat] [z.B. 'Nach Zerstörung von West-Waren: Russland deutet Einlenken im Lebensmittelstreit an [ARTICLE HEADING] Es klingt wie ein vorsichtiger Rückzug im Handelskrieg mit dem Westen: Der russische Regierungschef Medwedew hat ein Ende des Importverbots für westliche Lebensmittel angedeutet. Zugleich machte er Druck auf einheimische Hersteller.']","der Glauben [seltener für: Glaube] (kein Plural)"
"belief [etw. (D) Glauben schenken--believe sth. to be true; im Glauben, dass--in the belief that ]","der Glaube (kein Plural)	"
"belief [Überzeugung, Meinung] [an jmdn./etw.--in so./sth.] [einfältiger Glaube--naive belief; fester Glaube--firm belief; jdn in dem Glauben (be)lassen, dass …--let sb believe that ...]","die Wählerbefragung (Pl.: die Wählerbefragungen)"
"exit poll [nach Verlassen des Wahllokals] [pol.]","der Sieg (Pl.: die Siege)	"
"victory [entschiedener Sieg--decisive victory; leichter Sieg--easy victory; den Sieg davontragen--gain the victory (одержать победу)]","die Verwaltung (Pl.: die Verwaltungen)	"
"administration [governing authority] [admin.] [städtische Verwaltung--municipal authority or administration; öffentliche Verwaltung--public administration [pol.; admin.]; unter UN-Verwaltung--under UN administration [pol.];","der Aufbruch (Pl.: die Aufbrüche)	"
"awakening [Erneuerung]; departure [Abreise, das Losgehen] [zum Aufbruch mahnen--insist that it's time to leave [Person]]","der Redner (Pl.: die Redner)	"
"speaker [professioneller Redner--professional speaker; hervorragender Redner--brilliant speaker; der Redner wurde von Buhrufern empfangen--the speaker was booed]","die Benachrichtigung (Pl.: die Benachrichtigungen)"
"notification [Nachricht] [schriftliche Benachrichtigung--written notification]","die Begeisterung (Pl.: [selten] die Begeisterungen)"
"enthusiasm [Begeisterung entfachen--awake enthusiasm; jds. Begeisterung bremsen--dampen sb.'s enthusiasm; von der Begeisterung hingerissen--carried away by enthusiasm]","der Hafen (Pl.: die Häfen)	"
"port [naut.] [im Hafen--at the port [naut.]; den Hafen erreichen--reach port [naut.]; sicher in den Hafen kommen--come safely into port]; harbor [naut.] [in den Hafen einlaufen--enter harbour  [naut.]; ein Schiff in den Hafen lotsen--pilot a ship into the harbour]","das Rohöl (Pl.: die Rohöle)	"
"crude oil [Kosten {pl} der Versorgung mit Rohöl--crude oil supply costs [comm.]] [z.B. 'Die Preise für Benzin und Diesel sind wegen des Überangebots [oversupply] an Rohöl in vielen Staaten [countries] auf den niedrigsten Stand seit mehr als sechs Jahren gefallen.']","der Verbund (Pl.: die Verbunde/die Verbünde)"
"alliance; network [z.B. 'Der Cyberangriff auf das 'Parlakom'-Netz war Anfang Mai entdeckt worden. An den parlamentarischen IT-Verbund sind rund 20.000 Bundestags-Accounts angeschlossen - darunter der von Bundeskanzlerin Angela Merkel und anderen Regierungsmitgliedern.']","der Anfang (Pl.: die Anfänge)	"
"beginning [Beginn; erster Teil] [am Anfang--at the beginning; Anfang April--beginning of April; von Anfang an--from the beginning; Anfang des Monats--beginning of the month; erst der Anfang sein--be only the beginning]","das Votum (Pl.: die Vota/die Voten)	vote; decision [Entscheidung]"
"die Ebene (Pl.: die Ebenen)	","level [fig.] [z.B. 'Auch auf höchster politischer Ebene sorgen die Sparideen für heftigste Verstimmungen. Genau genommen hätten sie am Mittwochabend beinahe die amtierende Regierungskoalition gesprengt.'] [auf diplomatischer Ebene--at diplomatic level]"
"die Androhung (Pl.: die Androhungen)	","threat [Androhung von Gewalt--threat of violence]"
"der Stil (Pl.: die Stile)	","style [mit Stil--in style; einfacher Stil--simple style; gotischer Stil--Gothic style [art; archi.]; im Stil von--in the style of; seinen Stil wechseln--change one's style]"
"der Zuspruch (Pl.: die Zusprüche)	","encouragement [aufmunternde Worte, Ermutigung]; popularity [sich (A) großen Zuspruchs erfreuen--enjoy great popularity]"
"die Abstimmung (Pl.: die Abstimmungen)	","vote [Stimmabgabe, Wahl] [geheime Abstimmung--secret vote; Die Abstimmung ergab Stimmengleichheit.--The vote resulted in a tie.; sie verlor die Abstimmung--the vote went against her]; coordination [Koordination] [in Abstimmung mit--in coordination with]"
"der Urknall (Pl.: die Urknalle)	","Big Bang [phys.; astron.] [die Urknall-Theorie--big bang theory [phys.]; Vor 13,7 Milliarden Jahren entstand unser Kosmos durch den Urknall.--13.7 billion years ago, our cosmos was created by the Big Bang.]"
"das Kaninchen (Pl.: die Kaninchen)	","rabbit [zool.] [das Kaninchen aus dem Hut zaubern--to pull the rabbit out of the hat; sich vermehren wie die Kaninchen--to breed like rabbits; so furchtsam wie ein Kaninchen--as timid as a rabbit]"
"die Strahlung (Pl.: die Strahlungen)	","radiation [kosmische Strahlung--cosmic radiation]"
"der Bruchteil (Pl.: die Bruchteile)	","fraction [im Bruchteil einer Sekunde--in a fraction of a second]"
"die Messung (Pl.: die Messungen)	","measurement [tech.] [Messergebnis] [dosimetrische Messung--dosimetric measurement]"
"der Nachweis (Pl.: die Nachweise)	","proof [Beweis] [den Nachweis für etw erbringen--furnish proof of sth]"
"der Hinweis (Pl.: die Hinweise)	","clue [esp von Polizei; Anhaltspunkt] [über einen Hinweis stolpern--stumble upon a clue [fig.]]; evidence [unbestätigter Hinweis--raw evidence]; suggestion [jds. Hinweis folgen--follow sb.'s suggestion]; comment [Bemerkung]; piece of information [für Hinweise, die zur Ergreifung der Täter führen, ist eine Belohnung in Höhe von 23.000 Euro ausgesetzt--there is a reward of 23,000 euros for information leading to the arrest of the perpetrators]"
"das Weltall (kein Plural)	","universe; space [der erste Mensch {m} im Weltall--the first human in space [astronau]]"
"der Handschuh (meist im Plural: die Handschuhe)","glove [cloth.] [hitzebeständiger Handschuh--heat-resistant glove; Handschuhe abstreifen--strip off gloves; Warum hast du dir ausgerechnet rosarote Handschuhe ausgesucht?--Why of all things did you choose pink gloves?]"
"der Samt (Pl.: die Samte)	","velvet [textil.] [mit Samt bezogener Lehnstuhl--armchair covered in velvet]"
"der Spielraum (Pl.: die Spielräume)	","scope [Spielraum für die Fantasie--scope for the imagination]; leeway [bei Planung etc.] [Jedes Kind braucht einen gewissen Spielraum zur freien Entfaltung.--All children need a certain amount of leeway to be able to develop freely.] (свобода действий); room [fig.]"
"die Atempause (Pl.: die Atempausen)	","respite [interval of relief] [kurze Atempause--brief respite]"
"der Kern (Pl.: die Kerne)	","core [von Problem, Sache, Gruppe] [Kern der Frage--core of the question; der Kern eines Problems--the core of a problem; faul im Kern--rotten at the core]"
"die Gebühr (Pl.: die Gebühren)	","fee [fin.; admin.] [eine Gebühr entrichten--pay a fee; gegen eine Gebühr--for a fee]"
"die Angehörige {pl} (Sg.: der Angehöriger (male); die Angehörige (female))","relatives [Familienangehörige] [trauernde Angehörige--bereaved family members]; members [einer Partei, Vereinigung etc.] [Angehörige {pl} der Streitkräfte--service members [mil.] (военнослужащие)]"
"das Entgegenkommen (kein Plural)	","willingness to cooperate [gefällige Haltung] [er ist zu einem gewissen Entgegenkommen bereit--he is willing to make certain concessions]; cooperation [gefällige Haltung]"
"die Einsicht (Pl.: die Einsichten)	","insight [Erkenntnis]; understanding [comprehension]"
"die Bindung (Pl.: die Bindungen)	","tie [Verbundenheit mit einem Menschen, Ort] [seine enge Bindung an die Heimat--his close ties with his home country; die Bindung an seine Geburtsstadt war groß--the ties with his home town were strong]; commitment [Verpflichtung] [an +Akk.--to] [sich aus einer Bindung lösen--abandon a commitment; vertragliche Bindung--commitment to a contract]; loyalty"
"der Beschluss (Pl.: die Beschlüsse)	","decision [Entschluss] [unser Beschluss ist unumstößlich--our decision is final]"
"die Vorausschau (Pl.: [meist Singular] die Vorausschauen)","projection [finanziell]"
"die Nadel (Pl.: die Nadeln)	","needle [eine Nadel in einem Heuhaufen finden--find a needle in a haystack]"
"die Anweisung (Pl.: die Anweisungen)	","instruction [Anordnung] [nicht zulässige Anweisung--invalid instruction; Anweisung an eine Bank--instruction to a bank; eine Anweisung befolgen--follow an instruction; auf Anweisung [+Gen.]--at the instruction of …]; instructions [Anleitung] [Anweisung {f} für das Verhalten im Brandfall--fire response instructions [FireResc.]; auf wessen Anweisung or Anordnung haben Sie das getan?--on whose instructions did you do that?]"
"das Zögern (kein Plural)	","hesitation [ohne Zögern--without hesitation; nach einigem Zögern--after some hesitation]"
"die Verschleierung (Pl.: die Verschleierungen)","cover-up [Vertuschung]; concealment [Verschleierung von Gewinnen--concealment of profits; Verschleierung von Vermögenswerten--concealment of assets; Verschleierung der Tatsachen--concealment of facts] (маскировка; утаивание)"
"die Qual (Pl.: die Qualen)	","torment [große Pein] [die reinste Qual--sheer torment]; pain [tapfer ertrug er alle Qualen--he bore all his suffering or pain bravely]"
"die Beschwerde (Pl.: die Beschwerden)	","complaint [eine Beschwerde vorbringen--make a complaint; berechtigte Beschwerde--legitimate complaint; Anlass {m} zur Beschwerde--cause for complaint; mit einer Beschwerde umgehen--deal with a complaint; Beschwerde betreffend die Qualität--complaint regarding the quality]"
"der Schirm (Pl.: die Schirme)	","umbrella [Regenschirm] [einen Schirm zumachen--shut an umbrella (закрывать зонтик); Wo zum Teufel habe ich den Schirm gelassen?--Where the hell did I leave my umbrella?]; screen [Röntgenschirm, Wandschirm, Ofenschirm, Bildschirm]"
"der Umfang (Pl.: die Umfänge)	","scope [extent, range] [in großem Umfang--on a large scale; in kleinem Umfang--on a small scale; Umfang der Tätigkeiten--scope of activities]; size [Größe]"
"der Rettungsschirm (Pl.: die Rettungsschirme)","rescue fund [European Union] [Euro-Rettungsschirm--euro rescue fund [fin.; EU]]"
"das Recht (kein Plural [Gesamtheit der Gesetze]/die Rechte [einzelne Rechte])","law [body of laws, system] [pol.; law] [internationales Recht--international law; nach gültigem Recht--according to existing law; Der Vertrag untersteht deutschem Recht.--The contract is subject to German law.; das Recht des Stärkeren--the law of the jungle]; legislation [Gesamtheit der erlassenen Gesetze] [Anti-Dumping-Recht--antidumping legislation (антидемпинговое законодательство)]"
"der Mitschnitt (Pl.: die Mitschnitte)	","recording [z.B. eines Konzertes] [Audio-Mitschnitt--audio recording; einen Mitschnitt von etw (D) machen--make a recording of or tape sth]"
"das Telefonat (Pl.: die Telefonate)	","phone call [telecom.] [ein Telefonat führen--make a telephone call; talk on the phone]"
"der Verweis (Pl.: die Verweise)	","reference [Referenz; note redirecting reader] [mit Verweis auf [+Akk.]--with reference to]; reprimand [Rüge] [jdm einen Verweis erteilen--reprimand sb.; einen Verweis bekommen--be reprimanded] (выговор)"
"die Bandbreite (Pl.: die Bandbreiten)	","bandwidth [telecom.] [hohe Bandbreite--high bandwidth (высокая скорость)] (пропускная способность); range [eine Bandbreite von ... bis ... haben--to range from ... to ...] [z.B. 'Laut dem diesjährigen [2016] Welt-Risiko-Bericht des Forums [Weltwirtschaftsforum in Davos] gab es noch nie in den vergangenen Jahren eine vergleichbare Bandbreite globaler Probleme.']"
"die Aufklärung (Pl.: die Aufklärungen)	","reconnaissance [mil.] [Aufklärung {f} durch Feuer--reconnaissance by fire [mil.]] (разведка); clearance [of crime {clearance of crime--раскрытие преступления}]; clarification [Erklärung] [Aufklärung der Tatsachen--clarification of fact; lückenlose Aufklärung--complete clarification]]; Enlightenment [philos.; hist.] [Zeitalter {n} der Aufklärung--Age of Enlightenment [philos.; hist.]]; solution [Verbrechen, Rätsel]"
"der Vorschlag (Pl.: die Vorschläge)	","proposal [greifbarer Vorschlag--concrete proposal; einem Vorschlag zustimmen--agree to a proposal]]; recommendation [Rat] [auf Vorschlag von--on the recommendation of; einen Vorschlag machen--make a recommendation or put forward a proposal]"
"die Härte (Pl.: die Härten)	","hardness [+von Gesichtzügen; +von Mensch, Kampf] [die Härte des Wassers--the hardness of the water]; hardship [soziale Härten--social hardships; sich über eine Härte beklagen--complain of hardship] [z.B. 'Viele Russen haben derzeit wenig Grund zur Freude. Der Wert des Rubels ist rasant gesunken, das Land steckt in einer Wirtschaftskrise, die für viele Russen Härten mit sich bringt.']"
"der Versicherer (Pl.: die Versicherer)	","insurer [insur.] [Ansprüche beim Versicherer geltend machen--to claim from the insurer [insur.]] (страховая компания)"
"das Bündnis (Pl.: die Bündnisse)	","alliance [politisches Bündnis--political alliance]"
"die Erlaubnis (Pl.: [selten] die Erlaubnisse)","permission [Erlaubnis bekommen--get permission]"
"die Untreue (kein Plural)	","infidelity [eheliche Untreue--marital infidelity; jdn. der Untreue bezichtigen--accuse sb. of infidelity]; disloyalty; embezzlement [finanzieller Missbrauch] [law; fin.] [Verdacht {m} der Untreue--suspicion of embezzlement [law; fin.]]  [z.B. 'In dem Prozess wurden Nawalny [person's name] und seinem Bruder Oleg Untreue und Diebstahl vorgeworfen.']"
"der Schadenersatz (fachspr.: Schadensersatz) (kein Plural)","compensation for damages [law]; compensation [insur.; law] [Schadenersatz verlangen--demand compensation; Schadenersatz leisten--pay compensation]"
"die Gewissheit (Pl.: die Gewissheiten)	","certainty [Gewissheit des Erfolgs--certainty of success]"
"das Licht (kein Plural [erleuchtende Helligkeit, Beleuchtung] / Pl.: die Lichter [Lichtquellen; Glanzlichter; Jägerspr.: Augen]/[veraltet, geh.] die Lichte [Kerzen u. Ä.])","light [helles Licht--bright light; elektrisches Licht--electric light; Licht ausstrahlen--emit light; Licht auf etw. werfen--shed light on sth.]"
"der Bogen (Pl.: die Bögen)	","arc [math.]; bow [weapons; mus.] [er kratzte mit dem Bogen auf der Geige--he scraped his bow across the violin; den Bogen spannen--draw the bow (натянуть лук); Pfeil und Bogen--bow and arrow]; vault"
"die Erklärung (Pl.: die Erklärungen)	","declaration [Absichts-, Liebeserklärung etc.; Mitteilung, Bekanntgabe] [Erklärung der Absicht--declaration of intent; eine Erklärung lesen--read a declaration]; explanation [Erläuterung] [genaue Erklärung--detailed explanation; wissenschaftliche Erklärung--scientific explanation; eine Erklärung geben-- provide an explanation]; statement [eines Politikers, Pressesprechers] [eine Erklärung (zu etw) abgeben--make a statement (about or concerning sth); öffentliche Erklärung--official statement]"
"der Grundsatz (Pl.: die Grundsätze)	","principle [ein Mann mit/von Grundsätzen--a man of principle]"
"die Abrechnung (Pl.: die Abrechnungen)	","revenge [fig.] [Rache] [endlich war die Stunde der Abrechnung gekommen--the time for revenge had finally come]; pay off [fin.] [also fig.] [final outcome]; invoice [Rechnung] [die Abrechnung machen or vornehmen--prepare/calculate/add up the bill/invoice]"
"der Aufruhr (Pl.: [selten] die Aufruhre)","uproar [das verursachte einen (wahren) Aufruhr--this caused an uproar; der ganze Saal/die ganze Stadt war in Aufruhr--the whole room/town was in uproar] (шум; беспорядки; суматоха); revolt [Auflehnung; Aufstand] [in Aufruhr--in revolt; einen Aufruhr unterdrücken--crush/put down/quell] a revolt/an uprising]"
"die Erfahrung (kein Plural (das Erfahren (z. B. »in Erfahrung bringen«; Gesamtheit der Erlebnisse]) / die Erfahrungen [einzelne Erlebnisse])","experience [nach meiner Erfahrung--in my experience; Erfahrung hinzugewinnen--gain experience]"
"die Wut (kein Plural)	rage [Zorn, Raserei] [voll Wut--in a rage]","die Entlassung (Pl.: die Entlassungen)	"
